item_id,score
bloodmnist-1183-12,2
pathmnist-4515-3,2
bloodmnist-1559-1,2
bloodmnist-721-11,2
bloodmnist-1324-10,2
pathmnist-3702-6,1
bloodmnist-1000-2,2
pathmnist-8938-1,1
dermamnist-428-14,2
dermamnist-897-0,2
dermamnist-668-0,2
bloodmnist-479-9,2
pathmnist-1173-3,0
dermamnist-99-3,2
bloodmnist-336-2,2
dermamnist-670-14,1
dermamnist-91-5,2
bloodmnist-778-9,2
dermamnist-694-6,2
bloodmnist-1091-0,1
pathmnist-6556-4,1
dermamnist-136-10,2
bloodmnist-140-3,2
bloodmnist-1239-13,2
pathmnist-7567-5,1
dermamnist-488-1,2
bloodmnist-510-8,2
pathmnist-3939-13,1
dermamnist-934-15,2
pathmnist-2803-13,2
pathmnist-4515-12,2
pathmnist-9337-13,2
bloodmnist-1107-1,2
dermamnist-961-0,2
pathmnist-7715-5,1
dermamnist-324-5,2
pathmnist-6798-2,2
dermamnist-89-12,2
bloodmnist-533-14,2
bloodmnist-370-4,2
bloodmnist-301-15,2
pathmnist-5319-9,2
dermamnist-914-2,2
dermamnist-496-6,2
dermamnist-808-0,2
bloodmnist-1589-2,2
bloodmnist-379-7,2
dermamnist-694-10,2
pathmnist-790-9,2
bloodmnist-501-3,2
dermamnist-934-9,2
bloodmnist-701-10,2
dermamnist-100-6,2
pathmnist-7681-6,1
pathmnist-3702-1,2
bloodmnist-1653-13,2
pathmnist-3356-13,1
bloodmnist-758-0,2
pathmnist-356-13,2
pathmnist-338-13,2
dermamnist-422-12,2
bloodmnist-835-5,2
dermamnist-420-6,2
bloodmnist-356-7,2
pathmnist-8590-13,2
dermamnist-450-8,2
pathmnist-2122-13,2
bloodmnist-1113-8,2
dermamnist-726-10,2
pathmnist-9005-10,2
dermamnist-844-11,2
pathmnist-5122-10,2
dermamnist-221-0,2
dermamnist-318-4,2
dermamnist-784-2,2
bloodmnist-1094-12,2
bloodmnist-1479-10,2
pathmnist-4634-13,2
dermamnist-735-7,2
bloodmnist-756-3,2
bloodmnist-471-2,2
bloodmnist-1479-5,2
dermamnist-750-1,2
dermamnist-769-10,2
pathmnist-3737-8,2
bloodmnist-721-15,2
pathmnist-2631-15,2
pathmnist-2833-8,2
dermamnist-186-13,2
pathmnist-4513-1,2
pathmnist-7067-0,1
dermamnist-136-9,2
dermamnist-661-3,2
bloodmnist-124-4,2
dermamnist-286-0,2
dermamnist-88-2,2
bloodmnist-1403-15,2
bloodmnist-1652-14,2
pathmnist-3593-4,2
dermamnist-299-5,2
bloodmnist-1641-9,2
pathmnist-4060-2,2
dermamnist-61-7,2
bloodmnist-295-10,2
bloodmnist-278-0,2
bloodmnist-66-13,2
pathmnist-8101-5,2
pathmnist-878-9,2
dermamnist-516-9,0
pathmnist-1396-9,2
bloodmnist-835-8,2
bloodmnist-1356-11,2
pathmnist-531-6,2
pathmnist-1014-11,2
dermamnist-209-12,2
dermamnist-476-14,2
dermamnist-152-10,2
bloodmnist-242-15,2
pathmnist-7983-2,2
pathmnist-5375-2,0
pathmnist-5674-11,2
dermamnist-268-12,2
bloodmnist-883-13,2
pathmnist-3096-6,1
pathmnist-5196-11,2
pathmnist-3356-0,2
dermamnist-100-2,2
bloodmnist-533-10,2
bloodmnist-278-11,2
dermamnist-185-1,2
bloodmnist-756-10,2
pathmnist-509-11,2
dermamnist-657-14,2
bloodmnist-745-10,2
pathmnist-1158-6,1
dermamnist-136-15,2
pathmnist-6016-14,2
bloodmnist-1161-8,2
bloodmnist-743-8,2
pathmnist-469-2,2
dermamnist-243-2,2
bloodmnist-1161-4,2
pathmnist-7533-1,2
dermamnist-160-14,2
bloodmnist-1198-2,2
pathmnist-9337-10,2
pathmnist-8291-11,2
pathmnist-263-4,1
dermamnist-920-15,2
dermamnist-297-4,2
